CUST_CODE,TOTAL_SPEND,TOTAL_VISIT,STD_TICKET_SIZE,DURING_SINCE_FIRST_PURCHASE,DURING_SINCE_LAST_PURCHASE,LENGHT_OF_STAY,AVERAGE_TIME_TO_EVENT,MODE_BASKET_SIZE,MODE_SHOP_TIME,MODE_WEEKDAY,AVERAGE_MONTHLY_VISIT,AVERAGE_MONTHLY_SPEND,STD_MONTHLY_SPEND,STD_MONTHLY_VISIT
CUST0000125708,910.55,117,2.333554553,816,3,813,6.948717949,3,3,2,19.14814815,33.72407407,19.07477125,10.28016322
CUST0000708150,142.83,34,1.638586369,584,22,562,16.52941176,2,3,5,11,15.87,10.91313887,7.05533683
CUST0000978405,2094.86,151,1.661519146,816,3,813,5.38410596,3,3,2,44.17857143,74.81642857,58.93997499,36.62069436
CUST0000109773,1355.11,55,2.250789266,667,0,667,12.12727273,3,3,6,36.26315789,71.32157895,47.30572429,22.85386551
CUST0000361582,531.93,33,0.898602445,281,32,249,7.545454545,3,3,2,44.7,53.193,28.90325243,25.30632332
CUST0000576800,3199.75,308,3.410481801,818,1,817,2.652597403,3,2,5,73.35714286,114.2767857,43.46207214,17.43398628
CUST0000197423,292.88,26,2.746534563,808,25,783,30.11538462,2,2,4,5.222222222,16.27111111,7.130854623,2.484519975
CUST0000705199,4585.6,292,1.283373897,814,2,812,2.780821918,3,2,2,113.0357143,163.7714286,42.78686253,28.56381595
CUST0000809879,451.92,69,2.287239275,804,2,802,11.62318841,2,2,5,10.90909091,20.54181818,15.32293843,8.474073245
CUST0000001194,2493.83,103,2.327013461,806,16,790,7.669902913,3,3,6,44.37037037,92.36407407,50.74465929,22.29623477
CUST0000332590,29.39,31,0.415233394,780,14,766,24.70967742,1,1,6,1.7,1.4695,0.86308444,0.842614977
CUST0000089691,3835.5,259,2.359057407,815,0,815,3.146718147,3,2,4,75.53571429,136.9821429,61.37845029,29.33486729
CUST0000167190,2219.07,62,4.095882472,801,33,768,12.38709677,3,2,3,30.18518519,82.18777778,46.49156047,14.91962922
CUST0000654538,1815.85,74,1.894763111,707,12,695,9.391891892,3,2,6,39.55,90.7925,47.78654454,20.48774024
CUST0000178377,2590.8,130,2.088265708,745,0,745,5.730769231,3,3,1,66.72,103.632,39.31992187,27.2712596
CUST0000633908,704.25,24,3.727123294,767,24,743,30.95833333,3,2,5,23.61538462,54.17307692,61.80801969,22.36941064
CUST0000657952,1319.24,40,1.474499069,627,9,618,15.45,3,1,3,51.53333333,87.94933333,50.93228295,28.09713311
CUST0000962899,214.33,55,1.080980913,711,19,692,12.58181818,2,2,6,8.954545455,9.742272727,7.233645461,6.718206421
CUST0000983946,208.71,80,1.124041084,815,1,814,10.175,2,1,7,7.2,10.4355,7.642656263,4.178516483
CUST0000028322,99.9,35,2.017156146,285,12,273,7.8,2,3,3,7.4,9.99,7.967532868,5.624944444
CUST0000161376,3146.67,127,2.632437075,816,10,806,6.346456693,3,2,1,57.40740741,116.5433333,58.52303902,25.57524738
CUST0000077682,152.48,21,1.080126849,278,3,275,13.0952381,2,2,5,25.5,38.12,32.40004398,19.88089535
CUST0000121005,257.73,146,0.763111057,818,0,818,5.602739726,1,2,7,5.666666667,9.545555556,4.411565048,2.854496129
CUST0000984281,615.57,45,1.85665569,810,43,767,17.04444444,3,3,5,15.85,30.7785,29.38773422,14.54398501
CUST0000188842,922.11,41,1.567000515,798,4,794,19.36585366,3,3,3,19.12,36.8844,26.66771457,14.32290473
CUST0000842933,365.31,25,1.68737488,776,0,776,31.04,3,2,1,10.61111111,20.295,11.1172275,6.174669482
CUST0000339965,782.2,83,1.128470801,816,0,816,9.831325301,3,3,7,19.5,27.93571429,25.45579971,15.51612065
CUST0000080492,286.19,26,2.290993349,796,65,731,28.11538462,3,3,1,12.28571429,20.44214286,18.64948838,10.85902239
CUST0000115566,1913.83,87,3.124442532,805,3,802,9.218390805,3,3,3,30.78571429,68.35107143,43.27165596,17.48745906
CUST0000616217,449.77,26,2.930649086,803,5,798,30.69230769,3,2,6,8.894736842,23.67210526,29.78976291,9.475146086
CUST0000236914,1867.2,111,2.808319525,813,15,798,7.189189189,3,2,6,32.48148148,69.15555556,38.67358801,16.75613844
CUST0000164858,1594.15,75,5.266891032,746,0,746,9.946666667,3,3,1,26.80769231,61.31346154,44.12630298,12.40663356
CUST0000416322,1561.15,131,1.84736044,809,5,804,6.13740458,3,2,4,24.53571429,55.75535714,33.4999331,14.21136905
